,video_id,video_title,video_date,view_count,like_count,comment_count
108,ha4tRQwKIUg,I Bought Everything In A Store - Challenge,2019-05-18 20:05:02+00:00,105910896,3525020,183221
109,xRwy_rKc7gI,World&#39;s Largest Bowl Of Cereal,2019-05-15 21:05:01+00:00,103365167,1984294,81275
110,H1WBdh56Vq4,Spending 24 Hours In A City With No Laws,2019-05-07 21:00:01+00:00,95057607,1800708,63281
111,xhIYirjB4Yc,"Giving $10,000 To Random People And Saying Nothing",2019-04-30 20:00:06+00:00,52399995,1257057,49148
112,HfJMs4mrSJM,Molten Lava Vs Giant Ice Block Experiment,2019-04-27 20:00:02+00:00,66085161,1356183,42418
113,tYHTVjfShOA,"Anything You Can Carry, I&#39;ll Pay For Challenge",2019-04-20 20:00:03+00:00,74544007,1512387,93019
114,JTQcIR2ZxU4,Homeless Man Buys A Lamborghini,2019-04-18 20:05:00+00:00,90010939,2423403,73260
115,xpNeg0hPZIs,Playing Battleship With Real Ships,2019-04-06 20:05:58+00:00,32446553,904306,35647
116,9yrdFAJUSaU,"Donating $100,000 To Shroud In Real Life",2019-04-04 21:05:59+00:00,30505038,858461,21470
117,i2O6GMpNWGo,"Last To Leave The Tesla, Keeps It Challenge",2019-03-29 21:05:00+00:00,76819872,1458450,44521
118,Y6jC6VaO3j0,"Donating $100,000 To Streamers With 0 Viewers",2019-03-24 20:00:04+00:00,64960406,2406420,70711
119,Ooke4YZv8Ts,Surviving 24 Hours Straight In A Desert,2019-03-16 20:05:00+00:00,95694714,2074951,89452
120,ZV7rU6lnAKQ,"$200,000 Youtuber Battle Royale",2019-03-12 22:00:00+00:00,45772897,1613427,146250
121,iUzi5JmJNWc,Surprising Strangers With 100 Zombies - Experiment,2019-03-03 22:04:59+00:00,52654570,1567578,57359
122,9cCpZl8euLI,I Gave A Homeless Man A Home,2019-02-28 22:06:00+00:00,67262616,1987588,114765
123,2nd73lyvq4w,Giant Monopoly Game With Real Money,2019-02-15 22:05:00+00:00,65068024,1515969,67290
124,nuM0Z4a7kMs,I Spent 24 Hours Straight In Insane Asylum,2019-02-10 21:05:00+00:00,97508010,2018201,136228
125,qPBtTPJHS0Q,I Advertised Pewdiepie At The Super Bowl,2019-02-04 22:00:01+00:00,40747283,1231030,67654
126,A-vX1AGBGsc,I Went Back To 1st Grade For A Day,2019-01-31 22:05:00+00:00,131611260,2485685,136747
127,IiW2smvEcBM,I Opened The World’s Cheapest Store,2019-01-26 21:05:00+00:00,38365424,1124844,86247
128,q6Qw8mUVTrE,I Put 10 Million Legos in Friend&#39;s House,2019-01-18 22:04:59+00:00,49412912,975944,60325
129,dBxOYE2j55U,Make This Video The Most Liked Video On Youtube,2019-01-16 22:05:01+00:00,100879292,19763823,278428
130,984NGLLYDUg,"20,000 Magnets Vs A Car",2019-01-14 22:05:00+00:00,27562358,690616,24348
131,7zi0bi-RDj4,"Eating A $10,000 Golden Steak (24k Gold)",2019-01-11 22:05:00+00:00,103248966,1782961,90273
132,XaxhLbxZ13k,Last To Take Hand Off House Keeps It!,2019-01-08 21:05:00+00:00,60205005,1151209,43975
133,L8nh1wuXTbI,"I Gave Him One Hour To Spend $100,000!",2019-01-01 21:05:01+00:00,66219999,1370574,69879
134,9-HphHIJS9c,"How I Gave Away $1,000,000",2018-12-25 21:05:01+00:00,14105254,488068,35144
135,rPXmbM2UEbU,"Giving $100,000 To A Homeless Person",2018-12-23 21:00:01+00:00,29275172,1003014,73140
136,sESRuTyfsEk,I Spent 24 Hours Straight In Prison - Challenge,2018-12-19 21:05:02+00:00,91305623,1757660,76444
137,QapO3maXd9k,Donating $10000 To Pewdiepie,2018-12-16 21:05:02+00:00,44837506,1688000,51586
138,71VpdDb8e6U,"Last Youtuber To Leave Wins $100,000 - Challenge",2018-12-12 21:00:02+00:00,73805689,1878396,98289
139,Su34c5Z8DW4,I Put Millions Of Pennies In My Friends Backyard,2018-12-08 21:05:02+00:00,82304305,1643185,59101
140,e5DqdX-7_g4,Surprising TFue With A Fortnite Battle Bus In Real Life,2018-12-07 22:11:00+00:00,93617855,1774237,64557
141,9vB-48kHbBU,I Built A Giant House Using Only Legos,2018-12-02 20:05:01+00:00,58208339,986506,50775
142,3ix_gbcubTo,"Last To Leave Slime Pit Wins $20,000 - Challenge",2018-11-30 21:11:01+00:00,88576602,1708578,70941
143,mGIpOtncmSM,"Saying Pewdiepie 100,000 Times",2018-11-25 21:07:01+00:00,22403852,1520241,173865
144,VqnQ-0q2gb4,Destroyed Friend&#39;s House And Bought Him A New One,2018-11-24 21:06:01+00:00,39611591,1042435,70375
145,3TflpIllQHY,I Put 100 Million Orbeez In My Friend&#39;s Backyard,2018-11-22 21:08:01+00:00,162628277,4242632,138313
146,1SwVSTKFCsc,"Spending $40,000 In One Hour Challenge",2018-11-17 21:06:02+00:00,41656946,895613,56679
147,gKVZz4kcuns,"$10,000 Games Of Rock Paper Scissors",2018-11-04 21:05:02+00:00,17558652,497942,26080
148,nywT2SenPIo,"Last To Remove Hand, Gets Lamborghini Challenge",2018-11-02 20:05:01+00:00,71562808,1443109,75360
149,qZNxvnQv0h4,I Bought Every Billboard In My City For This,2018-10-26 21:06:02+00:00,36854486,1296555,111706
150,uE6gud1voDs,"Ordering Water Then Tipping $30,000",2018-10-23 20:11:02+00:00,40984271,1103939,47640
151,Gz3yak1cl-8,"Last To Leave Circle Wins $10,000 - Challenge",2018-10-12 22:05:04+00:00,78404377,1373643,60388
152,9GD6hbqu2oM,I Spent 24 Hours Straight In Slime,2018-10-09 20:05:02+00:00,38806721,878969,34274
153,GUWGsIVEMSQ,"Surprising Tfue With $10,000 Live - Fortnite",2018-10-04 20:07:01+00:00,66989206,1424795,47992
154,wDqJZ_2ZA3A,"I Spent $30,000 On Lottery Tickets And Won ____",2018-09-28 21:05:00+00:00,16718541,420495,22974
155,RywkkwO78m8,Flat Earth PROVEN By Independent Research,2018-09-22 20:05:01+00:00,25887365,754030,139965
156,P4qWhSZ7_WA,Things That SHOULDN&#39;T Be Sold On Amazon,2018-09-21 22:06:01+00:00,95132497,1498652,51353
157,UlUcwJc5nBs,"Surprising My 8,000,000th Subscriber With 8,000,000 ___",2018-09-19 20:05:01+00:00,26773736,476797,19026
158,qAW6CE7_bFM,"I Donated $25,000 To Random Kids Streaming Fortnite",2018-09-14 20:09:01+00:00,60138020,1234128,40792
159,q0OK-zHnvnA,Can A Glowing 1000 Degree Sword Slice A Car In Half?,2018-09-06 21:09:00+00:00,63395401,1037906,39131
160,bFZdU9dr4OM,Rocket League In Real Life!,2018-09-01 21:08:58+00:00,26956288,518044,16826
161,nd-bwvNB7YA,Destroying My Friend&#39;s Car And Surprising Him With A New One - Slime,2018-08-28 22:08:59+00:00,90370841,2037238,65746
162,6_im_hGxGRk,Spending 24 Hours Straight Under Water Challenge,2018-08-24 22:09:00+00:00,100932173,2644349,105235
163,b91vrgVY-ZQ,"Attempting The Impossible Maze - $10,000 Challenge",2018-08-15 21:08:59+00:00,51462296,969699,33066
164,52ubXjlVzUY,"Donating $100,000 To A Random Fortnite Streamer",2018-08-05 22:00:00+00:00,50208912,1064892,51728
165,XHb7g6yuGgE,Moving 10 Pounds Using ONLY Sound,2018-08-02 21:09:00+00:00,42668420,1167798,51302
166,rH1D_3G56DY,Returning Destroyed Rental Cars Prank,2018-07-27 21:09:00+00:00,32325222,535196,18138
167,-0zoWMSEOGg,"I Gave My 6,000,000th Subscriber 6,000,000 ____",2018-07-25 21:11:00+00:00,15740843,367370,33311
